City,Country,Longitude,Latitude,Date,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Max Temperature (F)
sainthia,IN,87.6667,23.95,1621136698,97.95,39,49,7.83,97.95
talaya,RU,152.75,61.3833,1621136698,39.94,72,98,7.07,39.94
navirai,BR,-54.1906,-23.065,1621136699,61.52,64,0,4.03,61.52
cayenne,GF,-52.3333,4.9333,1621136699,75.65,100,90,3.44,75.99
sao filipe,CV,-24.4956,14.8961,1621136700,73.04,71,82,7.81,73.04
lake forest,US,-117.6892,33.647,1621136404,60.37,67,75,5.75,63.0
palmer,US,-72.3287,42.1584,1621136700,51.31,62,90,4.61,55.0
victoria,HK,114.1577,22.2855,1621136628,84.88,71,14,8.01,91.0
turukhansk,RU,87.9833,65.8167,1621136701,25.99,71,84,10.0,25.99
lompoc,US,-120.4579,34.6391,1621136478,50.97,71,83,8.05,55.4
khatanga,RU,102.5,71.9667,1621136702,21.52,83,99,11.59,21.52
ilulissat,GL,-51.1,69.2167,1621136616,37.4,65,75,3.56,37.4
druzhba,UA,33.9453,52.0428,1621136706,55.26,89,13,6.49,55.26
vysokogornyy,RU,139.15,50.1167,1621136706,49.57,78,99,19.37,49.57
chuy,UY,-53.4616,-33.6971,1621136707,50.29,85,89,3.02,50.29
sorata,BO,-68.6333,-15.7667,1621136707,42.73,82,99,0.78,42.73
tiksi,RU,128.8694,71.6872,1621136707,32.34,95,100,7.31,32.34
qaqortoq,GL,-46.0333,60.7167,1621136708,41.0,36,8,6.91,41.0
laguna,US,-121.4238,38.421,1621136708,64.85,59,1,8.05,66.99
ostrovnoy,RU,39.5131,68.0531,1621136644,32.38,95,100,12.88,32.38
husavik,IS,-17.3389,66.0449,1621136709,33.8,64,90,5.75,33.8
faanui,PF,-151.75,-16.4833,1621136709,81.61,71,100,13.89,81.61
quatre cocos,MU,57.7625,-20.2078,1621136709,76.15,73,40,18.41,77.0
gbadolite,CD,21.0167,4.2833,1621136710,68.58,96,100,1.77,68.58
shenjiamen,CN,122.298,29.9576,1621136710,71.15,93,97,11.45,71.15
cidreira,BR,-50.2056,-30.1811,1621136711,60.98,80,26,6.53,60.98
aviles,ES,-5.9248,43.5547,1621136711,58.42,94,75,18.41,59.0
middleton,GB,-2.2,53.55,1621136712,45.7,85,88,3.13,46.99
waharoa,NZ,175.7667,-37.7667,1621136712,64.35,68,16,3.0,64.99
bakuriani,GE,43.5325,41.7497,1621136712,55.31,64,32,8.23,55.31
kassala,SD,36.4,15.451,1621136713,87.08,14,52,3.36,87.08
rio verde de mato grosso,BR,-54.8442,-18.9181,1621136713,73.53,55,61,4.9,73.53
kalmunai,LK,81.8167,7.4167,1621136714,86.81,66,95,5.77,86.81
tsybli,UA,31.5628,49.9948,1621136714,50.0,93,0,3.15,50.0
marawi,PH,124.2928,7.9986,1621136714,80.69,77,76,5.99,80.69
laela,TZ,32.05,-8.5667,1621136715,54.54,87,0,3.56,54.54
kruisfontein,ZA,24.7314,-34.0033,1621136715,57.0,94,100,1.01,57.0
severo-kurilsk,RU,156.125,50.6789,1621136716,41.09,69,100,15.64,41.09
yulara,AU,130.9889,-25.2406,1621136716,64.4,42,1,13.8,64.4
kahului,US,-156.47,20.8947,1621136591,72.84,57,40,20.71,78.8
tateyama,JP,139.8667,34.9833,1621136717,69.82,73,75,6.91,71.6
antibes,FR,7.1278,43.5624,1621136717,58.69,72,0,6.91,60.8
monrovia,LR,-10.7969,6.3005,1621136717,78.84,84,91,4.65,78.84
padang,ID,100.3543,-0.9492,1621136718,86.0,70,20,2.3,86.0
ponta do sol,PT,-17.1,32.6667,1621136718,62.11,68,20,20.71,66.2
wajid,SO,43.2471,3.8093,1621136719,74.88,75,5,16.6,74.88
thompson,CA,-97.8558,55.7435,1621136712,42.8,65,75,4.61,42.8
acapulco,MX,-99.8901,16.8634,1621136643,83.57,76,96,9.6,83.57
sawakin,SD,37.3321,19.1059,1621136720,84.76,33,0,2.1,84.76
whitehorse,CA,-135.0538,60.7161,1621136704,49.06,40,75,12.66,50.0
coruripe,BR,-36.1756,-10.1256,1621136505,74.79,83,85,6.89,74.79
sistranda,NO,8.834,63.7256,1621136721,50.0,66,40,17.27,50.0
east london,ZA,27.9116,-33.0153,1621136721,59.0,88,0,11.5,59.0
fairbanks,US,-147.7164,64.8378,1621136442,58.26,36,75,3.78,61.0
hovd,MN,91.6419,48.0056,1621136722,60.15,25,16,4.68,60.15
kasempa,ZM,25.8338,-13.4584,1621136722,55.0,70,3,3.69,55.0
luganville,VU,167.1667,-15.5333,1621136723,82.9,78,24,3.38,82.9
blackwater,AU,148.8833,-23.5833,1621136723,71.91,22,55,7.72,71.91
upernavik,GL,-56.1549,72.7868,1621136724,28.24,91,100,6.78,28.24
touros,BR,-35.4608,-5.1989,1621136724,73.4,94,20,4.61,73.4
castro,BR,-50.0119,-24.7911,1621136725,49.75,97,1,3.36,49.75
aklavik,CA,-135.0107,68.2191,1621136725,50.0,46,100,4.61,50.0
wakkanai,JP,141.6739,45.4094,1621136725,55.4,94,75,14.97,55.4
gouyave,GD,-61.7296,12.1646,1621136726,80.6,78,40,19.57,80.6
pyapon,MM,95.6833,16.2833,1621136726,96.76,41,10,8.3,96.76
sioux lookout,CA,-91.917,50.1001,1621136726,50.0,76,75,4.94,50.0
ust-tsilma,RU,52.1498,65.441,1621136727,49.6,66,99,6.85,49.6
koslan,RU,48.8989,63.4564,1621136727,55.92,81,100,7.0,55.92
tartagal,AR,-63.8013,-22.5164,1621136431,66.52,68,100,1.43,66.52
pevek,RU,170.3133,69.7008,1621136728,30.72,91,82,0.49,30.72
torbay,CA,-52.7314,47.6666,1621136729,37.09,100,75,5.75,39.0
ulaangom,MN,92.0667,49.9811,1621136729,64.54,31,5,4.34,64.54
coquimbo,CL,-71.3436,-29.9533,1621136503,53.6,94,40,11.5,53.6
lexington,US,-84.4777,37.9887,1621136646,58.05,72,90,5.75,59.0
arraial do cabo,BR,-42.0278,-22.9661,1621136643,69.24,78,17,7.94,69.24
lima,PE,-77.0282,-12.0432,1621136635,62.53,88,90,5.75,63.0
saskylakh,RU,114.0833,71.9167,1621136730,17.24,87,100,15.7,17.24
saint-augustin,CA,-58.6502,51.226,1621136730,39.97,79,100,8.28,39.97
zapolyarnyy,RU,30.8136,69.4154,1621136731,33.8,93,90,6.91,33.8
constitucion,CL,-72.4167,-35.3333,1621136731,54.12,81,31,7.72,54.12
inuvik,CA,-133.7218,68.3499,1621136668,50.0,46,99,4.61,50.0
bafra,TR,35.9069,41.5678,1621136732,59.36,87,0,5.75,64.0
mkushi,ZM,29.3939,-13.6202,1621136732,54.45,76,3,2.93,54.45
krasnaya polyana,RU,51.1442,56.242,1621136732,73.13,46,10,9.17,73.13
mikhaylovka,RU,43.2379,50.06,1621136733,65.75,53,99,7.76,65.75
adrar,MR,-10.0711,20.5022,1621136733,77.63,20,88,8.68,77.63
camacha,PT,-16.3333,33.0833,1621136734,66.2,77,75,13.8,66.2
ndele,CF,20.6473,8.4109,1621136734,72.1,91,100,4.54,72.1
cabra,ES,-4.4421,37.4725,1621136735,59.14,77,0,2.3,62.01
olga,RU,135.2892,43.7444,1621136735,61.07,54,100,7.7,61.07
santiago,CL,-70.6483,-33.4569,1621136509,57.58,76,40,4.61,64.0
doha,QA,51.5333,25.2867,1621136735,89.35,46,0,2.3,91.99
ashland,US,-82.2665,40.8167,1621136736,55.6,60,100,2.53,57.99
log,RU,43.8613,49.4844,1621136736,66.13,50,100,8.5,66.13
soto la marina,MX,-98.2167,23.7667,1621136737,78.01,90,100,8.01,78.01
urubicha,BO,-62.95,-15.3833,1621136737,75.45,64,100,1.66,75.45
marsa matruh,EG,27.2453,31.3525,1621136737,66.2,94,3,4.61,66.2
ukiah,US,-123.2078,39.1502,1621136738,63.9,60,1,4.61,69.8
domoni,KM,44.5319,-12.2569,1621136738,79.09,77,10,5.5,79.09
yeppoon,AU,150.7333,-23.1333,1621136739,73.4,21,5,5.75,73.4
karasuk,RU,78.0403,53.7377,1621136739,75.47,41,50,10.96,75.47
talnakh,RU,88.3972,69.4865,1621136739,20.19,89,99,5.19,20.19
hopfgarten,DE,11.2667,50.9833,1621136740,46.06,88,100,13.31,46.99
ust-kulom,RU,53.6902,61.6864,1621136740,62.8,81,93,4.9,62.8
aswan,EG,32.907,24.0934,1621136740,80.71,11,0,7.52,80.71
bowen,AU,148.2333,-20.0167,1621136741,73.4,40,0,13.8,73.4
pendleton,US,-118.7886,45.6721,1621136741,66.38,37,1,8.05,69.8
aras,ES,-2.356,42.5617,1621136742,64.4,68,75,10.36,64.4
hami,CN,93.45,42.8,1621136742,78.03,13,100,5.93,78.03
norman wells,CA,-126.8329,65.282,1621136654,50.0,46,75,10.36,50.0
nova olimpia,BR,-57.2881,-14.7972,1621136743,71.17,73,98,1.25,71.17
whitianga,NZ,175.7,-36.8333,1621136743,66.0,78,8,5.99,66.0
chokurdakh,RU,147.9167,70.6333,1621136743,33.04,98,100,7.05,33.04
clyde river,CA,-68.5914,70.4692,1621136744,10.4,67,1,2.3,10.4
dingle,PH,122.6711,10.9995,1621136744,89.28,59,100,13.51,89.28
chenzhou,CN,113.0333,25.8,1621136744,88.57,64,19,6.17,88.57
kununurra,AU,128.7333,-15.7667,1621136745,80.6,28,0,12.66,80.6
presidencia roque saenz pena,AR,-60.4388,-26.7852,1621136745,66.0,86,54,4.47,66.0
rincon,US,-81.2354,32.296,1621136746,58.55,67,1,3.47,62.6
yondo,CO,-73.9097,7.0062,1621136746,74.93,98,100,1.05,74.93
north bend,US,-124.2243,43.4065,1621136746,50.27,87,90,13.8,51.01
vila velha,BR,-40.2925,-20.3297,1621136747,68.0,88,75,2.3,68.0
fortuna,US,-124.1573,40.5982,1621136747,50.31,100,90,8.05,52.0
devils lake,US,-98.8651,48.1128,1621136479,57.2,62,1,4.61,57.2
mbalmayo,CM,11.5,3.5167,1621136714,68.0,100,75,8.05,68.0
praia,CV,-23.5087,14.9215,1621136682,69.8,78,75,16.11,69.8
nizwa,OM,57.5333,22.9333,1621136748,93.56,14,4,3.62,93.56
oranjemund,NA,16.4333,-28.55,1621136749,59.47,97,50,5.79,59.47
zhezkazgan,KZ,67.7144,47.8043,1621136749,72.64,29,0,8.43,72.64
nouadhibou,MR,-17.0347,20.931,1621136749,64.4,88,0,16.11,64.4
seoul,KR,126.9778,37.5683,1621136590,66.22,94,90,3.44,68.0
macau,MO,113.5461,22.2006,1621136750,90.34,74,40,11.5,91.4
santo antonio do ica,BR,-67.9397,-3.1022,1621136750,72.93,98,100,1.25,72.93
souillac,MU,57.5167,-20.5167,1621136751,75.2,73,40,18.41,75.2
korla,CN,86.1469,41.7597,1621136751,67.64,28,100,11.83,67.64
grindavik,IS,-22.4338,63.8424,1621136751,35.6,69,0,10.36,35.6
burkburnett,US,-98.5706,34.0979,1621136752,70.21,83,90,11.5,71.01
grand junction,US,-108.5507,39.0639,1621136752,70.03,9,1,10.36,73.4
tomatlan,MX,-105.25,19.9333,1621136752,78.17,68,1,1.61,78.17
yol,IN,76.2,32.1667,1621136753,84.88,28,57,4.65,84.88
chichli,IN,78.8167,22.8333,1621136753,97.79,31,65,8.86,97.79
bambanglipuro,ID,110.2833,-7.95,1621136754,85.46,66,29,13.2,85.46
saint-philippe,RE,55.7679,-21.3585,1621136754,74.44,78,40,16.11,75.2
berlevag,NO,29.0864,70.8578,1621136755,35.06,83,100,21.18,35.06
unity,CA,-109.1682,52.4501,1621136755,61.7,41,100,2.24,61.7
la carolina,ES,-3.6153,38.2756,1621136755,62.01,57,28,2.46,62.01
vardo,NO,31.1107,70.3705,1621136756,34.34,96,100,19.51,34.34
barcelona,ES,2.159,41.3888,1621136664,61.11,67,20,2.35,64.99
longyearbyen,SJ,15.6401,78.2186,1621136756,23.0,68,75,8.05,23.0
cabo san lucas,MX,-109.9124,22.8909,1621136757,78.01,78,58,15.48,80.01
muisne,EC,-80.0333,0.6,1621136757,76.23,88,96,2.82,76.23
lethem,GY,-59.7968,3.3803,1621136757,76.17,86,80,9.62,76.17
severo-yeniseyskiy,RU,93.0408,60.3725,1621136758,36.03,45,52,7.11,36.03
san jose,US,-121.895,37.3394,1621136661,57.56,67,40,4.61,60.8
acari,PE,-74.6158,-15.4311,1621136758,68.47,72,24,2.93,68.47
esna,EG,32.554,25.2934,1621136759,71.6,16,0,6.76,71.6
paamiut,GL,-49.6678,61.994,1621136759,37.53,66,71,4.38,37.53
korem,ET,39.5228,12.5058,1621136705,59.5,70,89,5.88,59.5
arvika,SE,12.5852,59.6553,1621136760,45.34,100,90,4.61,46.4
bambous virieux,MU,57.7575,-20.3428,1621136760,76.05,73,40,18.41,77.0
ponta delgada,PT,-25.6667,37.7333,1621136760,64.4,100,75,10.36,64.4
durango,MX,-104.8333,24.8333,1621136621,67.41,41,56,14.43,67.41
zholymbet,KZ,71.7122,51.7433,1621136761,74.26,42,45,11.14,74.26
nemuro,JP,145.575,43.3236,1621136761,55.4,94,75,17.27,55.4
bahia honda,CU,-83.1592,22.9036,1621136762,76.08,82,99,10.07,76.08
jambi,ID,103.6167,-1.6,1621136762,87.78,65,37,4.5,87.78
salaga,GH,-0.5188,8.5508,1621136762,77.11,80,100,2.15,77.11
emerald,AU,148.1667,-23.5333,1621136763,69.89,26,54,14.97,70.0
luderitz,NA,15.1594,-26.6481,1621136763,60.17,88,36,5.84,60.17
netishyn,UA,26.6417,50.34,1621136764,48.09,93,27,6.71,48.2
sao raimundo das mangabeiras,BR,-45.4811,-7.0219,1621136764,75.34,69,100,2.17,75.34
toamasina,MG,49.3833,-18.1667,1621136764,69.8,94,40,4.61,69.8
kavieng,PG,150.7967,-2.5744,1621136765,85.89,72,90,15.41,85.89
parkes,AU,148.1833,-33.1333,1621136765,57.0,42,0,3.0,57.0
banbury,GB,-1.3403,52.0602,1621136643,42.33,91,61,6.44,43.0
sehithwa,BW,22.7167,-20.4667,1621136766,56.89,39,0,3.53,56.89
tobol,KZ,62.5794,52.6844,1621136766,77.58,34,7,5.86,77.58
nanakuli,US,-158.1547,21.3906,1621136766,77.29,47,1,10.36,82.4
pilot butte,CA,-104.4178,50.4668,1621136767,60.19,26,44,5.75,61.0
vanimo,PG,141.3028,-2.6741,1621136767,85.5,69,97,7.29,85.5
belovo,RU,86.2976,54.4165,1621136768,64.15,44,61,5.61,64.15
thinadhoo,MV,72.9333,0.5333,1621136768,85.24,72,100,17.22,85.24
fort nelson,CA,-122.7002,58.8053,1621136768,55.4,50,75,4.61,55.4
saldanha,ZA,17.9442,-33.0117,1621136769,50.0,87,0,13.76,50.0
tasiilaq,GL,-37.6368,65.6145,1621136769,28.4,64,20,3.85,28.4
suluq,LY,20.2521,31.6682,1621136769,62.82,75,25,12.08,62.82
pell city,US,-86.2861,33.5862,1621136770,56.93,94,23,2.93,57.99
nador,MA,-2.9287,35.174,1621136770,61.18,55,0,2.33,64.4
naze,JP,129.4833,28.3667,1621136771,82.4,83,75,14.97,82.4
mujiayingzi,CN,118.7833,42.1167,1621136771,66.61,16,100,12.06,66.61
puerto colombia,CO,-74.9547,10.9878,1621136771,80.6,83,40,9.22,80.6
genhe,CN,121.5167,50.7833,1621136772,59.68,25,1,14.2,59.68
kargasok,RU,80.8572,59.0556,1621136772,45.57,92,100,8.5,45.57
beringovskiy,RU,179.3167,63.05,1621136773,32.41,94,90,5.14,32.41
jalu,LY,21.5482,29.0331,1621136773,67.77,50,0,12.21,67.77
kulhudhuffushi,MV,73.07,6.6221,1621136773,85.44,77,100,20.96,85.44
quesnel,CA,-122.5029,52.9999,1621136668,57.2,94,90,3.44,57.2
singaraja,ID,115.0882,-8.112,1621136774,85.96,63,7,3.8,85.96
san carlos de bariloche,AR,-71.3082,-41.1456,1621136774,32.0,74,0,6.91,32.0
ust-ilimsk,RU,102.6619,58.0006,1621136775,43.54,33,16,10.09,43.54
mareeba,AU,145.4333,-17.0,1621136775,79.83,42,0,18.41,82.4
taywarah,AF,64.4167,33.35,1621136775,57.9,17,30,5.79,57.9
bethel,US,-73.414,41.3712,1621136638,57.67,41,1,1.88,60.8
otavi,NA,17.3333,-19.65,1621136776,56.3,43,0,4.65,56.3
portel,BR,-50.8211,-1.9356,1621136777,73.17,97,100,4.79,73.17
gizo,SB,156.8419,-8.103,1621136777,86.32,65,63,2.82,86.32
